x,y,width,height,attempt,log_attempt,made,miss,made2,made3,miss2,miss3
20,32,1,1,1,0.0,1,0,0,1,0,0
21,32,1,1,2,0.3010299956639812,0,2,0,0,0,2
22,32,1,1,1,0.0,1,0,0,1,0,0
23,32,1,1,3,0.47712125471966244,0,3,0,0,0,3
26,32,1,1,3,0.47712125471966244,1,2,0,1,0,2
27,32,1,1,2,0.3010299956639812,1,1,0,1,0,1
28,32,1,1,4,0.6020599913279624,2,2,0,2,0,2
29,32,1,1,1,0.0,1,0,0,1,0,0
30,32,1,1,1,0.0,0,1,0,0,0,1
31,32,1,1,4,0.6020599913279624,1,3,0,1,0,3
32,32,1,1,5,0.6989700043360189,2,3,0,2,0,3
